0,1,2,3,4
,Standalone,Consolidated,,
Particulars,As at March,As at March,As at March,As at March
"31,2018","31, 2017","31,2018","31,2017",
,Audited,Audited,Audited,Audited
EquityEquity Share Capital,"1,818","1,817","1,818","1,817"
Other Equity,"66,528","63,548","1,12,604","1,07,084"
Equity attributable to owners of Jyothy Laboratories Limited,"68,346","65,365","1,14,422","1,08,901"
Non-controlling interests,-,-,"(1,395)",(665)
Total equity,"68,346","65,365","1,13,027","1,08,236"
LiabilitiesNon-Current liabilitiesFinancial Liabilities,,,,
Borrowings,-,-,377,552
Provisions,"2,652","2,140",2.780,"2,296"
Other non-currentliabilities,425,-,425,-
,"3,077","2,140","3,582","2,848"
Current liabilitiesFinancial Liabilities,,,,
Borrowings,"27,680","4,919","27,680","4,919"
Trade payables,16.716,"14,481","17,203","14,899"
Other financial liabilities,"21,040","41,272","27,235","46,425"
Provisions,"3,198","3,101","3,294","3,219"
Other current liabilities,"5,288","4,432","5,323","4,465"
Current Tax liabilities (net),552,299,552,299
,"74,474","68,504","81,287","74,226"
,,,,
Total liabilities,"77,551","70,644","84,869","77,074"
,,,,
Total equity and liabilities,"1,45,897","1,36,009","1,97,896","1,85,310"
