0,1,2,3
,,As at 31.03 2018,As at 31.03.2017
,Particulars,(Audited],[Audited]
A,ASSETS,,
1,Non-Currcn! Assets,,
,"(a) Properly, plant and equipment","3,185","2,913"
,(b) Capital work in progress,43227,24.979
,(e) Investment property,"98,211",94.495
,(d) Other Intangible assets,103,134
,(e) Financial assets,,
,(1) Investments,"118,683","82,707"
,(ii) Loans,"36,871","25,158"
,(iii) Other non current financial assets,"36,003","29,050"
,(0 Other non-current assets,"19,334","22,650"
,(g) Assets for current tax (net),768,768
,Sub-total - Non Current Assets,"356,385","282,854"
2,Current Assets,,
,(a) Inventories,"147,593",152.574
,(b) Financial assets,,
,(i) Investments,"16,569",
,(ii) Loans,"2,187",876
,(iii) Trade receivables,"14,638",5.555
,(iv) Cash and cash equivalents,4.432,"4,271"
,(v) Bank balances other than (iv> above,14,_
,(vi) Other current financial assets,23.702,"21,141"
,(c) Other current assets,"9,960","4,874"
,Sub-total - Current Assets,"219,095",189.291
,TOTAL ASSETS,575.480,"472,145"
B,EQUITY,,
,(a) Equity share capital,13.607,"11,366"
,(b) Other equity,"219,203","158,061"
,Sub-total - Equity,232.810,"169,427"
C,LIABILITIES,,
1,Non-Current Liabilities,,
,(a) Financial liabilities,,
,(i) Borrowings,"131,882","85,862"
,(ii) Other non current financial liabilities,"2,851","2,734"
,(b) Deferred tax liabilities (net),10.166,"8,668"
,(c) Other non-current liabilities,"1,651","1,449"
,Sub-total - Non Current Liabilities,"146,550","98,713"
2,Current Liabilities,,
,(a) Financial liabilities,,
,(1) Borrowings,"23,791","9,930"
,(ii) Trade payables,40.167,34.402
,(iii) Other current financial liabilities,61.141,"87,691"
,(b) Other current liabilities,68.636,"70,594"
,(c) Provisions,504,518
,(d) Liabilities for current tax (net),"1,881",870
,Sub-total - Current Liabilities,"196,120","204,005"
,TOTAL EQUITY AND LIABILITIES,"575,480","472,145"
