0,1,2,3
,3M INDIA LIMITED,,
,"RE6D OFFICE : 48-51, ELECTRONICS CITY, HOSUR ROAD, BANGALORE 560 100",,
,Balance Sheet,,Rs. in Lakhs
SL No.,Particulars,As at,As at
,,31 March 2018,31 March 2017
,,(Audited),(Audited)
,ASSETS,,
1,"Non current assets(a) Property, plant and equipment","28,491.27","31,467.13"
,(b) Capital work - in - progress,575.17,242.69
,(c)    Intangible assets(d)    Financial assets,31.17,49.29
,(i) Loans,"1,204.26","1,323.18"
,(e) Deferred tax assets (net),"1,134.80",779.53
,(f) Income tax assets (net),"4,330.16","3,582.96"
,(g) Other non - current assets,"3,581.09","2,989.81"
,Total non - current assets,39.347.92,"40,434.59"
2,Current assets(a)    inventories(b)    Financial assets,"34,728.93","33,177.80"
,(i) Trade receivables,"52,963,65","40,791.66"
,(ii) Cash and cash equivalents,"78,931.24","74,415.90"
,(lii) Loans,195.99,72.54
,(iv) Others,"4,114.09","1,780.58"
,(c) Other current assets,"3,253.43",2.479.86
,Total current assets,"174,187.33","152,718.34"
,,,
,Total Assets,"213,535.25","193,152.93"
,EQUITY AND LIABILITIESEquity(a) Equity share capital,"1,126.51","1,126.51"
,(b) Other equity,"152,540.21","121,512.90"
,Total equity,"153,666.72",122.639.41
,Liabilities,,
1,Non- current liabilities(a) Financial liabilities,,
,(i) Borrowings,487.74,461.99
,(ii) Provisions,2.167.35,"2,190.64"
,Total non - current liabilities,"2,655.09","2,652.63"
2,Current liabilities(a) Financial liabilities,,
,(i) Trade payables,"32,079.95","39,983.76"
,(ii) Others,"14,579.10","15,716.49"
,(b) Other current liabilities,"2,465.35","3,128.44"
,(c) Provisions,"6,220.72","5,733.28"
,(d) Current tax liabilities (net),"1,868.32","3,298.92"
,Total current liabilities,"57,213.44","67,860.89"
,,,
,Total equity and liabilities,"213,535.25","193,152.93"
