0,1,2
,2018,2017
C Cash flow from financing activities,,
Proceeds from issue of equity shares [including securities premium of'96 lakhs (31 March 2017:'69 lakhs)],98,70
Proceeds from issue of non-convertible debentures,"5,000",-
Redemption of non-convertible debentures,"(5,000)",-
Proceeds from long-term borrowings,-,"1,368"
Repayment of long-term borrowings,"(3,742)","(1,886)"
Proceeds from short-term borrowings,"14,349","9,554"
Repayment of short-term borrowings,"(12,443)","(9,500)"
Increase in other borrowings (net),"1,981",494
Principal payment under finance lease,(343),(302)
Interest paid,"(1,252)","(1,370)"
Ancillary borrowing costs incurred,(10),-
Dividend paid (including tax),"(4,524)","(4,142)"
Expenses incurred pursuant to the scheme of amalgamation (Refer note 58),-,(996)
Net cash used in financing activities ( C ),"(5,886)","(6,710)"
Net changes in cash and cash equivalents (A+B+C),676,(201)
Cash and cash equivalents at the beginning of the year,41,212
Cash and cash equivalents acquired pursuant to the scheme of amalgamation (Refer note 58),-,30
Cash and cash equivalents at the end of the year,717,41
,,
