0,1,2,3,4,5,6
,Particulars,Quarter Ended,YearEnded,YearEnded,,
,,31103/2018,3111212017,31/03/2017,31/03/2018,31/03/2017
,,Unaudited,Unaudited,Unaudited,Audited,Audited
1,Income,,,,,
,a Revenue from operations,390095.15,373809.54,364287.25,1495965.89,1398694.17
,b Other Income,3316.14,2948.45,1898.82,11324.73,9340.81
,TotalRevenue,393411.29,376757.99,366186.07,1507290.62,1408034.98
2,ExpensesaFinance cost,284305.16,281481.36,256992.55,1112465.13,1023149.09
,b Employee benefits expense,6310.31,4834.22,5683.18,21754.80,24580.31
,"c Depreciation and amo,1 isation expense",265.24,245.61,247.91,998.08,943.42
,d Establishment and other expenses,15843.21,9693.27,13723.11,41998.22,35652.56
,a Provisions / Wiite Offs (Net),2813.28,4844.94,8929.45,23887.28,28132.24
,TotalExpenses,309537.20,301099.40,285576.20,1201103.51,1112457.62
3,Profitbefore exceptional and extraordinaryItemsand tax (1-2),83874.09,75658.59,80609.87,306187.11,295577.36
4,Exceptional items,,,,,-
5,Profitbefore extraordinary items and tax (34),83874.09,75658.59,80609.87,306187.11,295577.36
6,Extraordinary Items,,,,,-
7,Profitbeforetax (5-6),83874.09,75658.59,80609.87,306187.11,295577.36
8,Tax expense,29941.36,26551.15,27691.20,107228.36,102472.35
9,Net Profit forthe period (7-8),53932.73,49107.44,52918.67,198958.75,193105.01
10,"Paid-up Equity Share Capital (face value, 2/-)",10093.26,10093.26,10093.26,10093.26,10093.26
11,Reserves as at 31 st March,,,,1258972.56,1097603.08
12,"Earning Per Share (EPS) on (face valueof,2/-)Occalti emu UIIUt»U CI::tllllflY rtl .)lta:Ut:: \«J \Iflt: a'"".) mi 4m ltd E III",10.69',9.73',10.49 ',39.42,38.26
13,Debenture Redemption Reserve,,,,,
14,Debt Equity Ratio [(Long Term Borrowings+ Short Term Borrowings* CurrentMaturities of LonQ Term Borrowings)/ Shareholders' fundi,-,,,11.45,11.41
15,Debt Service Coverage Ratio [(Profit Before Tax* Interest and other Charges)/(Interest and Other Charges* Principal ReoavmentYI,,-,,0.22,027
16,Interest Service Coverage Ratio [ (Profit Before Tax* Interest and otherCharaesl 1 Interest and Other Charaes 1,,,,128,129
17,Net Warth,,,,1269072.20,1107702.71
