0,1,2,3,4,5,6,7,8,9,10,11,12
Particulars,Quarter Ended Mar 2018,Quarter Ended Mar 2017,Year Bided Mar 2018,"' ■■ ' ,,, , ,,,,,, w. w wr> . ---wYear Bided Mar 2017",,,,,,,,
India SA,Africa,Total,India SA,Africa,Total,India SA,Africa,Total,India SA,Africa,Total,
Total revenues,"148,897","49,713","196,343","171,167","50,468","219,346","644,217","201,564","836,879","745,159","219,568","954,684"
EBITDA,"52,440","17,911","70,341","66,871","13,065","79,928","237,980","66,529","304,479","303,911","52,256","356,208"
EBITDA / Total revenues,35.2%,36.0%,35.8%,39.1%,25.9%,36.4%,36.9%,33.0%,36.4%,40.8%,23.8%,37.3%
EBIT,"9,862","11,208","21,061","25,721","3,931","29,643","75,288","35,586","110,845","146,546","10,189","156,775"
Profit before tax,"(7,912)","11,301","4,416","12,267","2,703","12,515","9,027","31,432","40,600","97,382","(9,998)","88,929"
Income tax expense,"(2,704)","2,654",(172),"4,225","2,743","6,943","4,806","10,231","14,918","34,229","10,010","44,230"
Profit after tax (beforeexceptional items),"(5,208)","8,647","4,588","8,042",(40),"5,572","4,220","21,201","25,683","63,153","(20,008)","44,699"
Non Controlling Interest,"2,039","1,660","3,754","1,494",(399),"1,107","8,765","2,929","11,723","8,803","(2,859)","6,563"
Net income (beforeexceptional items),"(7,247)","6,987",834,"6,548",359,"4,465","(4,545)","18,272","13,960","54,350","(17,148)","38,136"
Exceptional Items (net of tax),,,398,,,865,,,"3,848",,,"2,286"
Profit after tax (afterexceptional items),,,"4,190",,,"4,706",,,"21,835",,,"42,413"
Non Controlling Interest,,,"3,361",,,972,,,"10,844",,,"4,416"
Net income,,,829,,,"3,734",,,"10,990",,,"37,997"
Capex,"46,524","16,300","62,824","29,049","9,033","38,082","240,917","27,259","268,176","171,061","27,684","198,745"
Operating Free Cash Flow(EBITDA - Capex),"5,916","1,611","7,517","37,822","4,033","41,847","(2,938)","39,270","36,303","132,850","24,572","157,463"
Cumulative Investments,"2,550,846","568,556","3,119,402","2,332,858","578,688","2,911,547","2,550,846","568,556","3,119,402","2,332,858","578,688","2,911,547"
