0,1,2,3,4,5,6,7,8,9,10,11
,Particulars,,3 Months,,3 Months,,3 Months,,Year,,Year
,,,ended,,ended,,ended,,ended,,ended
,,,31 Mar.2018,,31 Dec.2017,,"31 Mar,2017",,"31 Mar ,2018",,31 Mar.2017
,,,(Audited),,(Unaudited),,(Audited),,(Audited),,(Audited)
,,,Rs. Crores,,Rs. Crores,,Rs. Crores,,Rs. Crores,,Rs. Crores
,,,( Refer note0),,,,( Refer note 6),,,,
1.,Income,,,,,,,,,,
,a. Revenue from Operations,,2.459.41,,"2,278.29",,2.204.33,,"9,459.80",,"8,553.74"
,b Other Income,,20.28,,11.05,,30.88,,58 41,,103 88
,Total Income,,"2,479.69",,"2,289.34",,"2,235.21",,"9,518.21",,"8,657.62"
"2,",Expenses,,,,,,,,,,
,a Cost of materials consumed,,1.699 45,,"1,724.49",,"1,311.80",,6.130.12,,"4,993.60"
,b.    Purchases of Stock in Tradec.    Changes in inventories of Finished Goods.,,12.89,,2.93,,6.89,,24.84,,15.71
,Work in Progress and Stock in Trade,,(109.16),,(235.46),,(79.72),,(144 53),,(294.25)
,d. Employees benefits expense,,153.79,,152.32,,130.32,,597.17,,519.57
,e. Excise Dutv,,-,,-,,249.74,,273.48,,970.27
,f. Finance Costs,,0.63,,0.93,,,,5.24,,4 31
,g Depreciation and amortisation expense,,67.43,,62.54,,54.44,,245.94,,206.32
,h. Other expenses,,364.41,,351 4.3,,333.40,,1.337.96,,"1,266.36"
,Total expenses,,"2,189.44",,"2,059.18",,"2,006.87",,"8,470.22",,"7,681.89"
3.,Profit before Exceptional Item and Tax,,290.25,,230.16,,228.34,,"1,047.99",,975.73
4,Exceptional Item,,-,,-,,-,,41.83,,-
5.,Profit before Tax,,290.25,,230.16,,228.34,,"1,006.16",,975.73
6.,Tax Expenses - Current,,85.25,,67.52,,50.85,,352.96,,253 85
,- Deferred,,15.44,,8.37,,13.23,,(15.15),,28.24
,-Total,,100.69,,75.89,,64.08,,337.81,,282.09
7.,Net Profit after l ax,,189.56,,154.27,,164.26,,668.35,,693.64
8,Other Comprehensive Income (net of tax),,,,,,,,,,
,- items that will not be reclassified to Statement of profit and,,,,,,,,,,
,loss in subsequent periods,,1.22,,3.96,,2.25,,2.90,,1.90
9.,Total Comprehensive Income,,190.78,,158.23,,166.51,,671.25,,695.54
10,Paid up Equity Share Capital{Face Value Re. 1 ),,85.00,,85.00,,85.00,,85.00,,85.00
11,Other Equity,,,,,,,,5.304.31,,"4,878.59"
12.,Earnings per Share ( Basic & Diluted ),,Rs. 2.23,#,Rs. 1.82,#,Rs. 1.94,n,Rs. 7.86,,Rs. 8.16
