0,1,2,3
"Gujarat Gas Limited(Formerly known as GSPC Distribution Networks Limited)Regd. Office: 3rd Floor, Block No. 15, Udyog Bhavan, Sector-11, Gandhinagar-382011, District:Gandhinagar, Gujarat.Website:www.gujaratgas.comCIN : L40200GJ2012SGC069118GUJARAT GAS",,,
STATEMENT OF CONSOLIDATED AUDITED FINANCIAL RESULTSFOR THE YEAR ENDED ON 31ST MARCH 2018(Rs. in Crores),,,
Sr.No.,Particulars,Year ended,
31/03/2018,31/03/2017,,
,,Audited,Audited
1,Revenue,,
(a),Revenue from operations,"6,339.35","5,237.87"
(b),Other Income,35.86,26.34
,Total Income,"6,375.21","5,264.21"
2,Expenses,,
(a),Cost of materials consumed,"4,678.61",3.838.04
(b),Changes in inventories,(0.62),(0.13)
(C),Employee Benefits Expenses,139 01,128.21
(d),Finance Costs,196 08,208.96
(e),Depreciation and Amortization Expenses,271.82,257 33
(f),Excise duty expense,165.02,145.26
(9),Other expenses,462.27,38320
,Total Expenses,"5,912.19","4,960.87"
3,Profit/(Loss) Before Exceptional Items and Tax (1-2),463.02,303.34
4,Exceptional Items,-,-
5,Profit/(Loss) Before Tax and share of profit of associate(3+4),463.02,303.34
6,Share of net profit of equity accounted investee,1.25,1.35
7,Profit/(Loss) Before Tax(5+6),464.27,304.69
8,Tax expense:,,
,Current Tax,121.25,64.94
,Deferred Tax,50.58,19.16
,Total Tax expense,171.83,84.10
9,Net Profit after tax for the period (7 - 8),292.44,220.59
10,Other Comprehensive Income (after tax)(OCI):,,
(a),Items that will not be reclassified to profit or (loss),(51.53),(56.11)
(b),Income tax related to items that will not be reclassified to profit or (loss),11.41,13.44
(c),Share of Other comprehensive income of equity accounted investee,0.04,(0.02)
,Total Other Comprehensive Income (after tax) (OCI),(40.08),(42.69)
11,Total Comprehensive Income (after tax) (9+10),252.36,177.90
12,Paid up Equity Share Capital (Face value of Rs. 10/- each.),137.68,137.68
13,Other Equity,"1,728.70","1,526.04"
14,Earnings Per Share in Rs. (Face Value Rs. 10 each),,
(a),Basic,21.24,16.02
(b),Diluted,21.24,16.02
See accompanying note to the Financial Results,,,
