0,1,2,3,4,5,6,7
&AIA ENGINEERING LIMITED,,,,,,,
"Regd. Office.: 115, GVMM Estate, Odhav Road, Ahmedabad 382 410; CIN: L29259GJ1991PLC015182",,,,,,,
Ph. 079-22901078; Fax: 079-22901077; E-mail:ric@aiaengineering.com; Website:www.aiaengineering.com,,,,,,,
STATEMENT OF AUDITED STANDALONE FINANCIAL RESULTS FOR THE QUARTER AND YEAR ENDED 31 MARCH 2018,,,,,,,
,(? in Lakhs ),,,,,,
Sr. No.,Particulars,Quarter ended,Year ended,Year ended,,,
31-Mar-2018,31-Dec-2017,31-Mar-2017,31-f,i/lar-2018,31-Mar-2017,,
Audited,Un-audited,Audited,A,udited,Audited,,
1,Income,,,,,,
Revenue from operations,"65,090.52","48,814.63","62,336.05",2(,")9,573.23","206,364.94",
Other operating revenue,"2,303.56","1,573.47","1,645.47","7,008.74","5,874.61",,
a) Total revenue from operations,"67,394.08","50,388.10","63,981.52","216,581.97","212,239.55",,
b) Other income,"11,260.70","2,772.41","6,151.04","21,698.25","13,888.54",,
Total income (a+b),"78,654.78","53,160.51","70,132.56","238,280.22","226,128.09",,
2,Expenses,,,,,,
a) Cost of materials consumed,"23,686.67","19,328.54","21,581.18","83,488.68","71,599.08",,
b) Excise duty on Sales,-,-,"1,500.85","1,543.20","5,664.39",,
c) Purchase of Stock-in-Trade,"6,247.67","5,145.32","5,931.42","22,017.14","19,138.56",,
d) Changes in inventories of finished goods. Stock-in-trade and work-in-progress,"1,686.19",(899.15),"(2,270.87)","(5,471.27)","(5,282.03)",,
e) Employee benefits expense,"2,175.82","2,050.83","2,072.11","8,205.07","7,734.25",,
f) Finance costs,269.74,103.95,141.90,656.72,446.39,,
g) Depreciation and amortisation expense,"1,372.61","1,755.83","2,059.79","6,439.39","7,128.90",,
h) Other expenses,"16,727.57","14,281.87","15,532.22","60,261.72","57,592.19",,
Total expenses (a+b+c+d+e+f+g+h),"52,166.27","41,767.19","46,548.60","177,140.65","164,021.73",,
3,Profit before tax (1-2),"26,488.51","11,393.32","23,583.96","61,139.57","62,106.36",
4,Tax expense,,,,,,
(i) Current tax,"5,577.50","3,545.50","4,161.10",,"L5,902.00","17,200.00",
(ii) Excess provision for tax of earlier periods written back,(632.60),(559.87),-,,"(1,192.47)",-,
(iii) Deferred tax,8.69,(639.50),702.34,,(560.62),"3,175.01",
Total tax expense (i+ii+iii),"4,953.59","2,346.13","4,863.44",,"L4,148.91","20,375.01",
5,Profit for the period (3-4),"21,534.92","9,047.19","18,720.52",,"16,990.66","41,731.35"
6,Other comprehensive income,,,,,,
,(i) Items that will not be reclassified to statement of profit and loss,172.21,(37.50),(178.40),,59.71,(151.02)
,(ii) Income tax relating to items that will not be reclassified to statement of profitand loss,’,’,“,,*,""""
,(iii) Items that will be reclassified to statement of profit and loss,223.19,"(1,025.89)",(477.41),,95.79,(28.00)
,(iv) Income tax relating to items that will be reclassified to statement of profit andloss,(78.94),355.04,165.22,,(34.85),9.69
7,Total other comprehensive income (net of tax),316.46,(708.35),(490.59),,120.65,(169.33)
8,Total comprehensive income for the period (5+7) (comprising profit and othercomprehensive income for the period),"21,851.38","8,338.84","18,229.93",,"17,111.31","41,562.02"
9,Paid-up Equity share capital - face value ofX2 each,"1,886.41","1,886.41","1,886.41",,"1,886.41","1,886.41"
10,Other Equity,,,,"274,140.87","240,321.55",
11,Earnings per equity share (EPS) in ? (not annualised),,,,,,
BASIC,22.83,9.59,19.85,,49.82,44.24,
DILUTED,22.83,9.59,19.85,,49.82,44.24,
