0,1,2,3,4,5,6,7,8,9,10
1,Hexaware Technologies Limited (Parent)Wholly owned subsidiaries,70.69%,"12,306.40",83.84%,"3,514.40",100.00%,262.29,84.79%,"3,776.69",
1,Hexaware Technologies Inc.,USA,22.85%,"3,977.54",13.27%,556.33,-,-,12.49%,556.33
2,"Hexaware Technologies, Mexico S. De. R.L. De.C.V.",Mexico,0.39%,67.87,3.04%,127.46,-,-,2.86%,127.46
3,Hexaware Technologies UKLtc,UK,2.65%,461.56,1.89%,79.20,-,-,1.78%,79.20
4,Hexaware Technologies Asia Pacific Pte Limitec,Singapore,1.02%,176.82,-1.47%,(61.59),-,-,-1.38%,(61.59)
5,Hexaware Technologies GmbH,Germany,1.47%,255.44,0.47%,19.50,-,-,0.44%,19.50
6,Hexaware Technologies Canada Limitec,Canada,-0.01%,(2.03),0.15%,6.49,-,-,0.15%,6.49
7,"dexaware Technologies DO Brazil Ltd, Brazi (Subsidiary of Hexaware Technologies UK Ltd)",Brazi,-0.03%,(5.97),0.04%,1.66,-,-,0.04%,1.66
8,Guangzhou Hexaware Information TechnologiesCompany Limitec,China,0.01%,1.79,-0.09%,(3.65),-,-,-0.08%,(3.65)
9,Hexaware Technologies LLC,Russia,0.68%,118.70,-1.04%,(43.39),-,-,-0.97%,(43.39)
1C,Hexaware Technologies Saudi LLC,Saudi Arabia,0.04%,7.06,-0.06%,(2.71),-,-,-0.06%,(2.71)
11,"Hexaware Technologies Romania SRL (Formec on September 28, 2016) (Subsidiary of Hexaware Technologies UK Ltd.)",Romania,0.16%,27.02,-0.05%,(2.08),,,-0.05%,(2.08)
,Associate,,,,,,,,,
1,"Fxperis Technology Solutions Pte. Ltd. (20% ownership interest by Hexaware Technologies Asia Pacific Pte Limited w.e.f. December 16,2016)",Singapore,0.10%,16.95,,,,,,
Total,100.00%,"17,409.15",100.00%,"4,191.62",100%,262.29,100.00%,"4,453.91",,
