0,1,2,3,4,5,6
Fair value of financial assets and liabilities measured at amortised cost,"December 31, 2017","December 31, 2016","January 01, 2016",,,
CarryingValue,FairValue,CarryingValue,Fair Value,CarryingValue,FairValue,
Financial assets at amortised costLoan,"4,055","4,055",56,56,"1,706","1,706"
Rental Deposits,80,80,97,97,82,82
Tender security deposits,8,8,9,9,11,11
Margin money deposits,4,4,5,5,17,17
Other Deposits,40,40,40,40,47,47
,"4,187","4,187",206,206,"1,863","1,863"
Financial assets at fair value through other comprehensive income (FVTOCI),,,,,,
Investment in equity instruments (Unquoted)*,2,2,2,2,2,2
,2,2,2,2,2,2
