0,1,2,3
,31 December 2017INR in Lacs,31 December 2016INR in Lacs,1 January 2016INR in Lacs
Trade payables,"36,313.95","32,519.35","28,670.74"
Trade payables to related parties,225.64,59.73,2.77
,"36,539.59","32,579.08","28,673.51"
"For terms and conditions relating to related party payables, refer Note 48",,,
Dues to Micro and Small Enterprises (On the basis of the information and records available with the Management.),,,
The principal amount and the interest due there on remaining unpaid to any Micro/Small supplier,,,
- Principal amount,558.21,488.42,373.62
- Interest there on,63.78,49.53,29.72
"The interest paid by the buyer as above, along with the amount of payments made beyond the appointed date during each accounting year.",,,
"The amount of interest due and payable for the period of delay in making payment (which has been paid but beyond the appointed day during the year) but without adding the interest specified under the Micro, Small and Medium Enterprises Development Act 2006.",,,
The amount of interest accrued and remaining unpaid at the end of each accounting year.,18.51,15.80,13.20
"The amount of further interest remaining due and payable even in the succeeding years, until such date when the interest dues as above are actually paid to the small / micro enterprise.",63.78,49.53,33.75
