0,1,2,3,4
Particulars,Figures as at,Figures as at,,
,"31st March, 2017","31st March, 2016",,
Note No. 7 : NON-CURRENT INVESTMENTS,,,,
(I) Unquoted Shares ( Valued at Cost ),,,,
Investment in Pinnacle,,"66,390,840",,"57,595,490"
Vedant Commodeal Pvt Ltd,,,,-
Festino Vincom Pvt Ltd,,,,-
Intime Dealers Pvt Ltd,,,,-
New Edge Vinimay Pvt Ltd,,,,-
Unicon Tie-up Pvt Ltd,,,,-
Uniglory Develoers Pvt Ltd,,,,-
Investments,,"10,200,000",,"10,200,000"
,-,"76,590,840",-,"67,795,490"
Note No. 8 : LONG TERM LOANS AND ADVANCES,,,,
"(Secured or Unsecured, Considered Good or Doubtful)",,,,
Security Deposits,,"32,385","32,385",
Other Loans and Advances,,"340,080,212",,"350,007,717"
Total,,"340,112,597",,"350,040,102"
Note No. 9 : CASH AND CASH EQUIVALENTS,,,,
(a) Cash and Cash Equivalent,,,,
Balances with Banks,,"1,598,018",,"1,598,018"
Cash on hand,,"62,313",,"46,719"
(b) Bank & NBFC deposits with more than 12 months maturity,,0,0,
Total,,"1,660,332",,"1,644,737"
Note No. 10 : SHORT TERM LOANS AND ADVANCES,,,,
"(Unsecured, Considered Good )",,,,
Advances,,-,,-
Deposits,,-,,-
Loan & Advances,,-,,-
Total,,-,,-
Note No. 11 : OTHER CURRENT ASSETS,,,,
Deffered Tax Assets,,"754,934",,"754,934"
Preliminary Expense,,"265,083",,"397,623"
TDS,,"3,598,448",,"1,951,949"
Total,,"4,618,465",,"3,104,506"
