0,1,2,3,4,5,6,7,8,9
Particulars,Gross Block (At Cost),Depreciation / Amortisation,Net Block,,,,,,
,"As at December 31, 2015",Additions during the year,Deletions during the year,"As at December 31, 2016","Upto December 31, 2015",For the year,OnDeletions,"As at December 31, 2016","As at December 31, 2016"
Tangible AssetsOwn AssetsLand- Freehold(Refer Note 1 below),"3,03,323",,,"3,03,323",,,,,"3,03,323"
Buildings,"4,02,25,094","9,05,103",-,"4,11,30,197","1,52,39,446","14,85,946",-,"1,67,25,392","2,44,04,805"
Plant and Equipment,"25,80,79,438","2,19,23,032","30,35,555","27,69,66,915","10,53,61,088","2,80,62,820","27,48,310","13,06,75,598","14,62,91,317"
Computers,"1,25,79,908","48,53,479","47,355","1,73,86,032","74,77,429","19,55,278","44,987","93,87,720","79,98,312"
Furniture and Fixtures,"1,31,47,770","1,46,400",-,"1,32,94,170","97,07,357","10,82,910",-,"1,07,90,267","25,03,903"
Office Equipments,"55,13,967","21,00,576","7,30,661","68,83,882","37,41,469","5,09,233","5,39,693","37,11,009","31,72,873"
Vehicles,"54,79,294",-,-,"54,79,294","28,81,571","4,01,651",-,"32,83,222","21,96,072"
Assets given on Operating LeaseLand- Freehold (Refer Note 1 below),"1,65,737",,,"1,65,737",,,,,"1,65,737"
Buildings,"1,95,20,044",-,-,"1,95,20,044","1,35,34,063","5,21,845",-,"1,40,55,908","54,64,136"
Sub-Total (A),"35,50,14,575","2,99,28,590","38,13,571","38,11,29,594","15,79,42,423","3,40,19,683","33,32,990","18,86,29,116","19,25,00,478"
Intangible AssetsGoodwill,"1,05,000",,,"1,05,000","1,05,000",,,"1,05,000",
Trademark,"3,93,84,800",-,-,"3,93,84,800","1,25,35,377","78,76,960",-,"2,04,12,337","1,89,72,463"
Technical/Commercial Knowhow and Non-compete Fees,"6,38,04,036",,,"6,38,04,036","3,74,22,137","77,39,800",,"4,51,61,937","1,86,42,099"
Computer Software,"1,07,70,227","34,08,776",-,"1,41,79,003","87,10,143","16,17,060",-,"1,03,27,203","38,51,800"
Sub-Total (B),"11,40,64,063","34,08,776",-,"11,74,72,839","5,87,72,657","1,72,33,820",-,"7,60,06,477","4,14,66,362"
Total (A+B),"46,90,78,638","3,33,37,366","38,13,571","49,86,02,433","21,67,15,080","5,12,53,503","33,32,990","26,46,35,593","23,39,66,840"
