0,1,2,3,4,5,6,7,8,9,10,11,12,13
Description of assets,Acquired during the year (Refer note (iii) below),Gross carrying amount,Depreciation / Amortisation,Net carrying amountAs at 31 March 2017,,,,,,,,,
Additions Disposals,Translation adjustment,As at 31 March 2017,,,,,,,,,,,
Upto31 March 2016,Acquired during the year (Refer note (iii) below),For the year,Disposals,Translation adjustment,Upto31 March 2017,,,,,,,,
,As at1 April2016,,,,,,,,,,,,
Freehold land,897,605,-,-,(72),"1,430",-,-,-,-,-,-,"1,430"
Leasehold land,303,-,-,-,(27),276,11,-,7,-,(4),14,262
Leasehold improvements,"1,269",■,966,■,(106),"2,129",271,■,481,■,(46),706,"1,423"
Buildings,,,,,,,,,,,,,
- Owned,"11,312","4,152",60,-,(891),"14,633",615,"1,313",657,-,(177),"2,408","12,225"
- Leased,"4,491",-,-,-,(95),"4,396",128,-,129,-,(8),249,"4,147"
Plant and machinery,,,,,,,,,,,,,
- Owned,"80,225","22,757","22,234","1,020","(6,934)","117,262","9,896","11,864","11,134",59,"(1,994)","30,841","86,421"
- Leased,"2,440",-,-,-,(HL,"2,429",533,-,536,-,OH,"1,055","1,374"
Equipments,,,,,,,,,,,,,
- Owned,"1,565","2,209","1,747",16,(251),"5,254",308,"1,612",491,-,(162),"2,249","3,005"
- Leased,103,-,-,-,,103,23,-,23,-,(1),45,58
Furniture and fixtures,529,"1,023",694,10,(88),"2,148",76,620,192,8,(55),825,"1,323"
Vehides,10,-,-,-,(2),8,5,-,4,-,(1),8,-
Total(A),"103,144","30,746","25,701","1,046","(8,477)","150,068","11,866","15,409","13,654",67,"(2,462)","38,400","111,668"
4(b) Capital work-in-progress,,,,,,,,,,,,,"1,144"
4(c) Other intangible assets,,,,,,,,,,,,,
Software,"1,516",853,202,-,(137),"2,434",416,484,426,-,(73),"1,253","1,181"
Patents and Commerdal rights,42,"1,362","2,562",,(101),"3,865",3,134,68,,(14),191,"3,674"
Total(B),"1,558","2,215","2,764",-,(238),"6,299",419,618,494,-,(87),"1,444","4,855"
Grand Total (A+B),"104,702","32,961","28,465","1,046","(8,715)","156,367","12,285","16,027","14,148",67,"(2,549)","39,844","116,523"
4(d) Intangible assets under development,,,,,,,,,,789,,,
