0,1,2
,"Year ended 31st March, 2018","Year ended31st March, 2017"
i) Profit on disposal of surplus properties,13,164
ii) Profit on disposal of business/subsidiary,-,19
iil) Profit on disposal of joint venture,72,-
iv) Decrease in liability on account of plans amendments basis actuarial valuation (refer Note 42),-,115
Total exceptional income (A),85,298
i) Fair valuation of contingent consideration payable (refer Note 44),(48),-
ii) Restructuring costs,(70),(61)
Total exceptional expenditure (B),(118),(61)
Exceptional items (net) (A+B),(33),237
