0,1,2,3,4,5
(? in Crores),,,,,
,,Non-Current,Current,,
,Refer Note,As at,As at,As at,As at
,,31.03.2018,31.03.2017,31.03.2018,31.03.2017
Financial liabilities measured at fair value through profit or loss (FVTPL),,,,,
Forward exchange contract (net),16,-,-,-,2.44
,-,-,-,2.44,
Financial liabilities measured at amortised cost,,,,,
Loan from State of Haryana,15,9.87,10.38,1.42,1.98
Sales tax deferment scheme - State of Maharashtra,15,0.44,0.64,0.20,0.22
Term Loan from Bank,15,17.59,28.49,11.03,11.99
Finance lease liability,15,0.43,1.56,0.03,0.65
Loan repayable on demand - from banks/ financial institutions,15,-,-,422.96,431.22
Loan repayable on demand - Cash Credit/ OverdraftAccounts,15,-,-,69.46,72.32
Foreign Currency Loan (Buyers’ credit),15,-,-,-,0.89
Retention monies relating to capital expenditure,16,0.65,2.31,75.40,29.62
Payable towards capital expenditure,16,-,-,205.52,41.37
Payable towards services received,16,-,-,275.87,215.58
Payable towards stores sparesand consumables,16,-,-,8.54,38.07
Payable to employees,16,-,-,142.84,159.26
Unpaid/unclaimed dividend,16,-,-,14.11,11.51
Unclaimed amount of sale proceeds of fractional coupons of bonus shares issued in earlieryears,16,■,■,0.04,0.04
Trade deposits from certain customers,16,2.19,4.69,1.56,3.19
Interest accrued but not due on borrowings,16,-,-,0.22,0.35
Payable towards other expenses,16,1.95,-,625.66,522.49
Trade payables (including Acceptances),19,-,-,"2,159.96","1,922.83"
Others,16,0.20,0.20,1.29,1.03
,33.32,48.27,"4,016.11","3,464.61",
