0,1,2,3,4,5,6,7
,Reserves and Surplus,Total,,,,,
,Securities Premium Reserve,CapitalReserve,Capital Redemption Reserve,DebentureRedemptionReserve,GeneralReserves,RetainedEarnings,
Dividend distribution tax,-,-,-,-,-,(374.91),(374.91)
Transfer from Debenture Redemption Reserve,-,-,-,,3375.00,-,3375.00
Transferred to General Reserve,-,-,-,(3375.00),-,-,(3375.00)
Transferred from Retained Earnings,-,-,-,3725.00,-,-,3725.00
Transferred to Debenture Redemption Reserve,-,-,-,-,-,(3725.00),(3725.00)
"Balance as at 31st March, 2017",13319.86,2131.95,1371.01,6200.00,88237.34,5005.81,116265.97
"Balance as at 1st April, 2017",13319.86,2131.95,1371.01,6200.00,88237.34,5005.81,116265.97
Profit for the year,-,-,-,-,-,9807.18,9807.18
Other Comprehensive Income for the year,-,-,-,-,-,418.42,418.42
Total Comprehensive Income for the year,-             -                -                -             -       10225.60,10225.60,,,,,
Dividends,-,-,-,-,-,(767.26),(767.26)
Dividend distribution tax,-,-,-,-,-,(156.20),(156.20)
Transfer from Debenture Redemption Reserve,-,-,-,-,2500.00,-,2500.00
Transferred to General Reserve,-,-,-,(2500.00),-,-,(2500.00)
Transferred from Retained Earnings,-,-,-,3550.00,-,-,3550.00
Transferred to Debenture Redemption Reserve,-,-,-,-,-,(3550.00),(3550.00)
"Balance as at 31st March, 2018",13319.86,2131.95,1371.01,7250.00,90737.34,10757.95,125568.11
