0,1,2,3,4,5,6,7,8,9
,Particulars_1___,T,ISIN No.,"Previous Date October 01, 2017 till1 March 31, 2018)'","1 Next Date (April 01, 2018 tillSeptember 30, 2018)",,,,
,r,|,,Principal,Interest,Principal,,Interest,
1,I NCD Series 3,1,INE036A07039,N.A.,,N.A.,"' August 19, 2018","August 19, 2018",
2,NCD Senes 4,i,INE036A07096,"February 23, 2018",February 23 2018,1 .,j-,,
3.,NCD Series 5,i,INE036A07104,1 N.A.,,January 25 2018,"1July 27, 2018",July 27. 2018,
4.,'NCD Senes 6,_L,INE036A07112,"January 25, 2018","January 25, 2018",' N.A.,,N A,
5,NCD Series 1 0,1,NE036A07146,March 31 2018,March 31. 2018,1 -,,T-1,
6.,[ NCD Series 11A,1,INE036A07153,1N A,,N A,"""Tn a",,"^June 15, 20181"
7.,NCD Series 11B,T,INE036A07161,N A,,N A,"June 15, 2018",,"June 15, 2018"
8.,; NCD Series 11C,,INE036A07195,N.A.,,N A,", N.A.",,June 29. 2018
9.,NCD Series 11D,,INE036A07203,N.A.,,N.A,1 June 29. 2018,,"June 29, 2018 1"
10.,1 NCD Senes 12A,,INE036A071 79,N.A.,,N A.,| N.A,,"June 15, 2018"
11.,| NCD Series 128,,INE036A07187,N A.,,N A,"June 15, 2018",,"June 15, 2018"
12,i NCD Series 12C,I,INE036A0721 1,I N.A.,,N.A.,June 29. 2018,,"June 29, 2018"
13.,1NCD Series 12D,i,INE036A07229,| N.A.,,N.A.,1 N A.,,June 29. 2018
14.,1NCD Series 13A,j,INE036A07237,", N.A.",,N.A,"i Julv 26, 2018",,July 26. 2018
15.,1NCD Series 136,1,INE036A07245,HQ. a.,,N.A.,N.A.,"July 26, 2018",
16.,' NCD Series 14,I,INE036A07252,N.A.,,N.A.,N.A,,"August 6, 2018"
17,1 NCD Series 16,L,INE036A07278,I N.A.,,October 31. 2017,T N.A.,,"N.A,"
18.,NCD Series 17,I,INE036A07286,", N.A.",,"November 12,",N A.,,N.A
,1,,,,,20’7,1,,
19.,1NCD Series 18,!,INE036A07294,1 N.A.,,"January 21, 2018",1N.A,,April 21. 2018
20,1 NCD Series 19,1,INE036A07302,i N.A.,,January 21. 2018,| N A.,,N.A. H
21.,1 NCD Series 20D,,INE036A07344,1N A.,,N.A.,N.A.,,N.A.
22.,I NCD Series20E ',INE036A07351,i~N A.,,N.A,1NA.,,N.A.,
23.,1NCD Series 21D,1,INE036A07401,| March,23. 2018,March 23. 2018,| -,,|
24.,TTJCD Senes 25B,1,INE036A07450,i N.A.,,N. A.,1 -,,
25.,| NCD Senes 25C,,INE036A07468,March,"23, 2018","March 23, 2018",H-,T-,
26,i NCD Series 25D,“F,INE036A07476,TN A.,,"March 26, 2018",April 25. 2018,,"Apri'25, 2018 1"
27.,NCD Series 25E,,INE036A07484,1 N.A,,March 26. 2018,N.A.,,"April 25, 2018 j"
28.,1 NCD Senes 25F,|,INE036A07492,1 N. A.,,"March 26, 2018",j N.A.,~1,"April 25, 2018"
29,1 NCD Series 26,,INE036A07500,■ N.A.,,". Februa'y 28,2018","! May 30, 2018","May 30, 2018",
30,I NCD Series 27,1,INE036A07559,P N.A.,,N.A,Tn.a,,N A.
