0,1,2
47.,Reliance Nasal Systems Limited I,
48.,Reliance Unmanned Systems Limited,
49.,Reliance Aerosiructure Limited i,
50.,Reliance Defence Systems Private Limited,
51.,T1CAPCO Limited,
52.,Reliance Delhi Metro Trust,
53.,Reliance Toll Road Trust,
54.,Reliance Property Developers Private Limited formerly known as Reliance Infra Solutions,
,Private Limited),i
55.,Western Transmission (Gujarat) Limited,1
56.,Western Transco Power Limited 1,
57.,Reliance Rafael Defence Systems Private limited,
58.,Dassault Reliance Aerospace Limited,
59.,Reliance Armaments Limited,
60.,RelianceAmmunition Limited,
61.,Reliance Velocity Limited,
B. Associates,,
Sr. No.,Name of the Company,
1.,Reliance Power Limited,
~>,Reliance Naval and Engineering Limited,
3.,Reliance Geothermal Power Private Limited,
4.,- Metro One Operations Private Limited,
5.,I RPL Photon Private Limited,
6.,| RPL Sun Technique Private Limited,
7.,1RPL Sun Power Private Limited,
