0,1,2,3
1,Bharti Airtel Limited,,
,Subsidiaries,,
2,Bharti Airtel Services Limited,42,Airtel Mobile Commerce Zambia Limited
3,Bharti Hexacom Limited,43,Airtel Money (RDC) S.A.
4,Bharti Infratel Limited,44,Airtel Money Niger S.A.
5,Bharti Telemedia Limited,45,Airtel Money S.A. (Gabon)
6,Airtel Payments Bank Limited,46,Airtel Networks Kenya Limited @
7,Telesonic Networks Limited,47,Airtel Networks Limited
8,Nxtra Data Limited,48,Airtel Networks Zambia Pic
9,Wynk Limited,49,Airtel Rwanda Limited
10,Indo Teleports Limited,50,Airtel Tanzania Public LimitedCompany(formerly known as AirtelTanzania Ltd)
11,Nettle Infrastructure InvestmentsLimited,51,Airtel Tchad S.A.
12,SmarTx Services Limited,52,Airtel Uganda Limited
13,Bangladesh Infratel Networks Limited #,53,Bharti Airtel Africa B.V.
14,Bharti Airtel (France) SAS,54,Bharti Airtel Burkina Faso Holdings B.V.
15,Bharti Airtel (Hongkong) Limited,55,Bharti Airtel Chad Holdings B.V.
16,Bharti Airtel (Japan) Private Limited,56,Bharti Airtel Congo Holdings B.V.
17,Bharti Airtel (UK) Limited,57,Bharti Airtel Developers Forum Limited
18,Bharti Airtel (USA) Limited,58,Bharti Airtel DTH Holdings B.V. #
19,Bharti Airtel Mali Holdings B.V.,59,Bharti Airtel Gabon Holdings B.V.
20,Bharti Airtel International (Netherlands)B.V.,60,Bharti Airtel Kenya B.V.
21,Bharti Airtel Lanka (Private) Limited,61,Bharti Airtel Kenya Holdings B.V.
22,Bharti Infratel Lanka (Private) Limited#,62,Bharti Airtel Madagascar Holdings B.V.
23,Bharti International (Singapore) Pte Ltd,63,Bharti Airtel Malawi Holdings B.V.
24,Network i2i Ltd.,64,Bharti Airtel International (Mauritius)Limited
25,Africa Towers N.V.,65,Bharti Airtel Niger Holdings B.V.
26,Africa Towers Services Limited *,66,Bharti Airtel Nigeria B.V.
27,Airtel (Seychelles) Limited,67,Bharti Airtel Nigeria Holdings B.V. #
28,Airtel Congo S.A,68,Bharti Airtel Nigeria Holdings II B.V.
29,Airtel DTH Services Nigeria Limited #,69,Bharti Airtel RDC Holdings B.V.
30,Airtel Gabon S.A.,70,Bharti Airtel Services B.V.
31,Airtel Madagascar S.A.,71,Bharti Airtel Tanzania B.V.
32,Airtel Mobile Commerce (Seychelles)Limited,72,Bharti Airtel Uganda Holdings B.V.
33,Airtel Mobile Commerce B.V.,73,Bharti Airtel Zambia Holdings B.V.
34,Airtel Mobile Commerce Holdings B.V.,74,Celtel (Mauritius) Holdings Limited
35,Airtel Mobile Commerce Kenya Limited,75,Airtel Congo (RDC) S.A.
36,"Airtel Mobile Commerce Limited, Malawi",76,Celtel Niger S.A.
37,Airtel Mobile Commerce MadagascarS.A.,77,Channel Sea Management Co MauritiusLimited
38,Airtel Mobile Commerce Rwanda Limited,78,Congo RDC Towers S.A.
39,Airtel Malawi Limited,79,Airtel Mobile Commerce Tanzania Limited
40,Indian Ocean Telecom Limited,80,Airtel Mobile Commerce Tchad SARL
41,Madagascar Towers S.A.,81,Airtel Mobile Commerce Uganda Limited
