0,1,2,3,4,5,6
,Quarter Ended,Year Ended,,,,
Particulars,Mar-18,Mar-17,Y-on-YGrowth,Mar-18,Mar-17,Y-on-YGrowth
Total revenues,"16,739","16,017",5%,"66,284","60,829",9%
mrrDA,"8,144","7,943",3%,"32,546","29,177",12%
EBiTDA / Totalrevenues,48.7%,49.6%,,49.1%,48.0%,
mn,"5,149","4,921",5%,"20,452","17,246",19%
Share of results of joint ventures/associates,"3,287","3,272",0%,"13,025","11,950",9%
Capex,"2,670","2,243",19%,"11,307","9,829",15%
Operating Free Cash Flow (EBITDA - Capex),"5,474","5,700",-4%,"21,240","19,348",10%
Cumulative Investments,"201,998","196,111",3%,"201,998","196,111",3%
