0,1,2,3,4,5
,Three months ended,Year ended,,,
Particulars,"March 31,",December,"March 31,","March 31,","March 31,"
,2018,"31,2017",2017,2018,2017
RevenueIT Services,,,,,
BFSi,"39,013","37,766","34,911","148,062","135,967"
HLS,"18,575","18,463","20,456","74,177","82,242"
CBU,"21,029","21,209","21,204","83,762","83,417"
ENU,"16,768","16,426","17,515","68,427","68,883"
MNT,"30,870","30,050","30,657","120,272","119,175"
COMM,"7,864","8,432","9,278","33,710","38,756"
Total of IT Services,"134,119","132,346","134,021","52$,410","528,440"
IT Products,"4,169","4,498","6,613","17,998","25,922"
Reconciling Items,(45),(29),(14),(49),(153)..
Total Revenue,"138,243","136,815","140,620","546,359","554,209"
Other operating income,,,,,
IT Services,-,,"4,082",-•,"4,082"
IT Products,•-,-,-,-,-
Total other operatingincome,,,"4,082",,"4,082"
,,,,,
Total income fromoperations,"138,243","136,815","144,702","546,359","558,291"
Segment ResultIT Services,,,,,
BFSI,"6,298","6,832","5,153","24,626","24,939"
HLS,"1,824","2,364",(11),"9,620","9,479"
CBU,"3,013","3,869","3,719","13,060","14,493"
ENU,"2,286","(1,312)","4,097","8,060","14,421"
MNT,"5,475","5,692","5,969","21,742","23,453"
COMM,(753),"1,315","1,449","3,158","6, ]49"
Unallocated,"1,180",830,8 IT,"3,347",(951)
Other Operating Income,-,-,"4,082",-,"4,082"
Total of IT Services,"19,323","19,590","25,269","83,613","96,065"
IT Products,48,195,(428),362,"(1,680)"
Reconciling Items,16,(68),(12),267,(469)
Total segment result,"19,387","19,717","24,829","84,242","93,916"
Finance costs,"(1,564)","(1,230)","(1,170)","(5,830)",(5-942)
Other Income,"4,803","6,159","5,753","23,999","22,419"
Share of profit/ (loss) ofequity accounted investee,(3),10,-,11,-
Profit before tax,"22,623","24,656","29,412","102,422","110,393"
