0,1,2,3,4,5,6,7,8
Sr.No.,NCD Series,ISIN No.,"Previous due date(October 1,2017 to March31,2018)","Interest(April 1,2018 toSeptember 30, 2018)","Principal(April 1, 2018 toSeptember 30, 2018)",,,
Interest,Principal,Next duedate,Amount(Rs. incrorc),Next duedate,Amount(Rs. incrorc),,,
1,78 (C-009),INE001A07AU5,08-Dee-17,08-Dec-17,-,-,-,-
2,79 (C-010),INE00IA07AV3,21-Dec-17,21-Dec-17,-,-,-,-
3,134 (E-016),rNEOOl A07CY3,31-Oct-17,31-Oct-17,-,-,-,-
4,137    (E-019)&138    (E-020),INEOO 1A07DB9,10-Dec-17,10-Dec-17,-,-,-,-
5,141 (E-023),INE001A07DE3,12-Dec-17,-,-,-,-,-
6,149 (E-031),1NE001A07DM6,07-Feb-I8,07-Feb-18,-,-,-,-
7,155 (E-037),INE001A07DS3,13-Mar-18,13-Mar-18,-,-,-,-
8,160 (F-002),INEOO 1A07DX3,-,-,30-May-18,33.66,30-May-18,340.00
9,161 (F-003),INE00IA07DY1,-,-,30-Jun-18,21.00,30-Jun-18,200.00
10,163 (F-005),1NE001A07EA9,-,-,21-Jul-18,55.00,21-Jul-18,500.00
11,164 (F-006),INE001A07EB7,-,-,06-Aug-18,44.60,06-Aug-18,400.00
12,165 (F-007),INE001A07EC5,-,,04-Sep-18,55.69,04-Sep-18,495.00
13,167 (F-009),rNEOOl A07EE1,-,-,09-Sep-18,45.12,09-Sep-18,400.00
14,169(F-011),INE001A07EG6,27-Oct-17,-,27-Apr-18,29.17,-,-
15,170 (F-012),1NE001A07EH4,04-Nov-17,-,04-May-18,29.01,-,-
16,171 (F-013),INEOO 1A07EI2,26-Nov-17,-,-,-,-,-
17,172 (F-014),rNEOOl A07EJ0,26-Nov-17,-,-,-,-,-
18,175 (F-017),1NE001A07EM4,23-Dec-17,-,-,-,-,-
19,176 (F-018),INE001A07EN2,29-Dec-17,-,-,-,-,-
20,177 (F-019),INE001A07EO0,02-Jan-18,-,-,-,-,-
21,193(G-012),INE001A07FG3,-,-,08-Apr-18,44.80,-,-
22,196 (G-015),INE001A07FJ7,-,-,09-Apr-18,44.80,-,-
23,199(H-003),INEOO1A07FM1,-,-,20-May-18,21.63,-,-
24,204(H-008),INEOO 1A07FR0,-,-,21-Jul-18,43.95,-,-
25,206(H-010),INEOO 1A07FT6,-,-,18-Aug-18,44.50,-,-
26,208(H-012),INEOO 1A07FV2,19-Oct-17,-,-,-,-,-
27,209 (H-013),INEOO 1A07FW0,26-Nov-17,-,-,-,-,-
'28,212 (H-016),INEOO 1A07FZ3,23-Dec-1723-Mar-18,-,23-Jun-l823-Sep-18,11.3411.34,-,-
29,216 (H-020),INEOO 1A07GD8,18-Jan-18,-,-,-,-,-
