0,1
Sr. No.,Name of the company
1,India Infoline Finance Limited
2,India Infoline Housinq Finance Limited
3,IIFL Securities Limited (Formeriy known as India Infoline Limited)
4,IIFL Wealth Management Limited
5,IIFL Asset Management Limited
6,India Infoline Commodities Limited
7,India Infoline Insurance Brokers Limited
8,IIFL Management Services Limited (Formerly India Infoline InsuranceServices Limited)
9,India Infoline Media and Research Services Limited
10,IIFL Trustee Limited
11,IIFL Alternate Asset Advisors Limited
12,IIFL Asset Reconstruction Limited
13,IIFL Distribution Services Limited
14,IIFL Investment Adviser and Trustee Services Limited
15,IIFL Facilities Services Limited (Formerly IIFL Real Estate Limited)
16,IIFL Wealth Finance Limited
17,IIFL Private Wealth Hong Kong Limited
18,IIFL Private Wealth Management (Dubai) Limited
19,IIFL Inc
20,IIFL Wealth (UK) Limited
21,IIFL Private Wealth (Suisse) SA
22,IIFL Capital Inc.
23,IFL Asset Management (Mauritius) Limited
24,IIFL (Asia) Pte. Limited
25,IIFL Capital Pte. Limited
26,IIFL Securities Pte. Limited
27,IIFL Capital (Canada) Limited
28,Samasta Microfinance Limited
29,Ayusha Dairy Private Limited
30,Clara Developers Private Limited
