0,1,2,3,4,5,6,7
B,Subordinate Perpetual Debentures,,,,,,
1,INE511C08928,18-Sep-15,19-Sep-17,18-Sep-18,-,Call Option atthe end oflOyears fromDOA,2.00
2,INE511C08936,15-Oct-15,16-Oct-17,15-Oct-18,-,5.00,
3,INE511C08944,14-Jun-16,14-Jun-17,14-Jun-18,-,3.00,
4,INE511C08951,05-Jul-16,05-JUI-17,05-JUI-18,-,1.70,
5,INE511C08969,01-Aug-16,01-Aug-17,01-Aug-18,-,10.00,
6,INE511C08977,09-Sep-16,ll-Sep-17,10-Sep-18,-,3.00,
7,INE511C08AF8,03-Feb-17,03-Feb-18,03-Feb-19,-,1.90,
8,INE511C08AH4,07-Mar-17,07-Mar-18,07-Mar-l9,-,1.00,
9,INE511C08AJ0,04-Aug 17,-,04-Aug-18,-,1.00,
,Sub Total (B),,,,,,28.60
,Total (A+B),,,,,,161.60
