0,1,2,3,4
Particulars,Previous Due Date,Next Due Date,,
Principal,Interest,Principal,Interest,
"1,050 - 8 65 % Non Convertible Debentures of Rs. 1 Million each",-,"May 30, 2017","Apr 30, 2024","May 30, 2018"
1 050 - 8.65 % Non Convertible Debentures of Rs. 1 Million each,-,"May 30, 2017","Apr 30, 2025","May 30, 2018"
1.150 - 8.65 % Non Convertible Debentures of Rs 1 Million each,-,"May 30, 2017",Apr 30. 2026,"May 30, 2018"
1.050 - 7 50 % Non Convertible Debentures of Rs. 1 Million each,-,Oct 23. 2017,"Oct 21, 2021","Oct 22, 2018"
"1,050 - 7.50 % Non Convertible Debentures of Rs. 1 Million each",-,"Oct 23, 2017","Oct 21, 2022",Oct 22. 2018
900 - 7 50 % Non Convertible Debentures of Rs. 1 Million each,-,"Oct 23, 2017","Oct 20, 2023","Oct 22, 2018"
"1,500 - 7 80 % Non Convertible Debentures of Rs 1 Million each",-,-,"Apr 29, 2022","May 31, 2018"
"1,500 - 7.80 % Non Convertible Debentures of Rs. 1 Million each",-,-,Apr 28. 2023,"May 31, 2018"
"1,500 - 7 80 % Non Convertible Debentures of Rs. 1 Million each",-,-,"Apr 30, 2024","May 31, 2018"
