0,1
Entity,Relationship
"The Bombay Burmah Trading Corporation, Limited",Holding Company
Afco Industrial & Chemicals Limited,Subsidiary
DPI Products and Services Limited,Subsidiary
Sea Wind Investment and Trading Company Limited,Subsidiary
Leila Lands Senderian Berhad,Subsidiary
Leila Lands Limited,Subsidiary
Island Horti-Tech Holdings Pte Limited,Subsidiary
Island Landscape & Nursery Pte Limited,Subsidiary
Innovative Organics Inc.,Subsidiary
Restpoint Investments Limited,Subsidiary
Granum Inc.,Subsidiary
Associated Biscuits International Limited,Subsidiary
ABI Holdings Limited,Subsidiary
Britannia Brands Limited,Subsidiary
Britannia Industries Limited,Subsidiary
Britannia Dairy Private Limited,Subsidiary
Daily Bread Gourmet Foods (India) Private Limited,Subsidiary
Britannia Dairy Holdings Private Limited,Subsidiary
J.B. Mangharam Foods Private Limited,Subsidiary
International Bakery Products Limited,Subsidiary
Sunrise Biscuit Company Private Limited,Subsidiary
Ganges Valley Foods Private Limited,Subsidiary
Manna Foods Private Limited,Subsidiary
Britannia and Associates (Mauritius) Private Limited,Subsidiary
Britannia and Associates (Dubai) Private Limited,Subsidiary
A1 Sallan Food Industries Company SAOG,Subsidiary
"Strategic Food International Co. LLC, Dubai",Subsidiary
Strategic Brands Holding Company Limited,Subsidiary
Britannia Lanka Private Limited,Subsidiary
Britannia Nepal Private Limited,Subsidiary
Naira Holdings Limited,Subsidiary
Boribunder Finance and Investments Private Limited,Subsidiary
Flora Investments Company Private Limited,Subsidiary
Gilt Edge Finance and Investments Private Limited,Subsidiary
Valletort Enterprises Pte Limited,Subsidiary
Spargo Enterprises Pte Limited,Subsidiary
Nacupa Enterprises Pte Limited,Subsidiary
Dowbiggin Enterprises Pte Limited,Subsidiary
Bannatyne Enterprises Pte Limited,Subsidiary
Subham Viniyog Private Limited,Subsidiary
Vasna Agrex and Herbs Private Limited,Subsidiary
Snacko Bisc Private Limited_U._,Subsidiary
