0,1,2,3,4,5,6,7,8,9,10,11,12,13
,Property plant and equipment,,,,,,,,,,,,
Particulars,Land -,Land -,Building Et,Plant &,Spares for,Electircal 1,Furniture,Typewriter 1,"Tubewell,",Lab,Railway,Vehicles,Total
,Freehold,Leasehold,Sidings,Machinery,Plant &,installation &,& Fittings,Accounting,Tanks and,Equipment,Sidings,,
,,,,,Machinery,Equipment,,Machine and,Miscellaneou,,,,
,,,,,,,,Office,s Equipment,,,,
,,,,,,,,Equipment,,,,,
Gross block,,,,,,,,,,,,,
Balance as at 1 April 2017,"2,398.67",":3,203.81","14,102.46","15,771.79",24.25,"2,452.96",701.28,"1,453.46","1,460.35",535.90,238.33,368.67,"42,711.93"
Additions,20.74,-,"2,072.98","1,446.27",5.12,454.41,140.76,428.72,370.83,85.78,-,12.07,"5,037.68"
Inter Asset Adjustment,,,(52.27),,,,,,,,,,(52.27)
Disposal of assets,-,,1.51,60.07,0.30,32.65,29.38,38.76,6.86,-,-,4.27,173.80
Balance as at Mar 31 2018,"2,419.41","3,203.81","16,121.66","17,157.99",29.06,"2,874.72",812.66,"1,843.42","1,824.33",621.68,238.33,376.47,"47,523.53"
Accumulated depreciationBalance as at 1 April 2017,,125.94,730.76,"1,463.50",18.21,586.81,150.97,609.86,274.89,148-70,41.88,267.33,"4,418.85"
Depreciation charge for the year,-,63.53,424.77,814.84,2.14,371.90,97.68,373.34,184.81,73.94,20.94,58.94,"2,486.83"
Impairment,-,-,74.92,277.58,,18.24,0.66,0.20,9.99,,,,381.59
Inter Asset Adjustment,,,0.84,,,,,,,,,,0.84
Disposal of assets,,,1.19,45.96,0.30,27.65,18.78,38.73,2.77,-,-,4.27,139.65
Balance as at Mar 31 201 8,-,189.47,"1,230.10","2,509.96",20.05,949.30,230.53,944.67,466.92,222.64,62.82,322.00,"7,148.46"
,,,,,,,,,,,,,
Net b lock as at Mar 31 2018,"2,419.41","3,014.34","14,891.56","14,648.03",9.01,"1,925.42",582.13,898.75,"1,357.41",399.04,175.51,54.48,"40,375.07"
Met block as at Mar 31 2017,"2,398.67","3,077.87","13,371.70","14,308.29",6.04,"1,866.15",550.31,843.60,"1,185.46",387.20,196.45,101.34,"38,293.08"
